name,target_size_WH,corner_reproj_rmse_px,valid_pixel_ratio,condition_number_nonzero,dewarped_mse_gray,dewarped_psnr_gray_db,ground_truth_mse_gray,ground_truth_psnr_gray_db
smartdoc_card01,638x1010,2.806559792040188e-13,1.0,3.8999908638961336,7.38597566653217,39.44672488355579,4263.698836090505,11.832938399064316
smartdoc_paper01,2480x3508,1.2181404357308444e-12,1.0,3.619401563711788,23.388635882958766,34.440754680788395,4790.151134963402,11.32731144729933
smartdoc_poster01,2167x3072,2.118353314434523e-12,1.0,3.6079980091711565,29.16026050078834,33.48288961470616,10876.003722834708,7.766110132942744
smartdoc_receipt01,1797x5770,2.140742830148102e-12,1.0,8.06080447516561,47.696528587507196,31.345935891685038,8586.626638273494,8.792577814515212
smartdoc_screen01,3000x2250,1.1017352795685494e-12,1.0,3.4883684404385393,13.581470666666666,36.80133560891327,9098.978729333334,8.540877110858487
